SR_VILLAGE,ROUND_NO,SCHEDULE_NO,SAMPLE,SECTOR,STATE_REGION,DISTRICT_CD,STRATUM_NO,SUB_STRAT_NO,SUB_ROUND_NO,SUB_SAMPLE_NO,FOD,HG_SB_NO,SSS_NO,SAMPLE_HH_NO,SR_NO_INFORMANT,RESPONSE_CODE,SURVEY_CD,REASON_CD,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
43449,71,252,2,2,273,3,3,1,1,2,0,1,2,2,1,1,1,,1,1,1,71,967062
43449,71,252,2,2,273,3,3,1,1,2,0,1,3,2,1,1,1,,1,1,1,71,967063
34484,71,252,2,1,273,3,3,3,2,1,0,1,3,1,1,1,1,,1,1,1,71,967064
43740,71,252,2,2,273,20,20,1,2,2,0,1,1,1,2,1,1,,1,1,1,71,967065
34395,71,252,2,1,273,20,20,7,1,1,0,1,1,1,1,1,1,,1,1,1,71,967067
34395,71,252,2,1,273,20,20,7,1,1,0,1,2,1,2,1,1,,1,1,1,71,967068
34395,71,252,2,1,273,20,20,7,1,1,0,1,2,2,2,1,1,,1,1,1,71,967069
34395,71,252,2,1,273,20,20,7,1,1,0,1,3,1,1,1,1,,1,1,1,71,967070
34395,71,252,2,1,273,20,20,7,1,1,0,2,1,1,2,1,1,,1,1,1,71,967071
34395,71,252,2,1,273,20,20,7,1,1,0,2,2,1,2,1,1,,1,1,1,71,967072
34395,71,252,2,1,273,20,20,7,1,1,0,2,2,2,1,1,1,,1,1,1,71,967073
34395,71,252,2,1,273,20,20,7,1,1,0,2,3,1,2,1,1,,1,1,1,71,967074
43824,71,252,2,2,273,20,54,1,2,2,0,1,1,1,1,1,1,,1,1,1,71,967075
43824,71,252,2,2,273,20,54,1,2,2,0,1,2,1,1,1,1,,1,1,1,71,967076
34394,71,252,2,1,273,20,20,6,1,2,0,2,3,1,1,1,1,,1,1,1,71,967077
34394,71,252,2,1,273,20,20,6,1,2,0,1,1,1,1,1,1,,1,1,1,71,967078
34394,71,252,2,1,273,20,20,6,1,2,0,1,2,1,1,1,1,,1,1,1,71,967079
34394,71,252,2,1,273,20,20,6,1,2,0,2,2,2,1,1,1,,1,1,1,71,967080
34394,71,252,2,1,273,20,20,6,1,2,0,2,2,1,1,1,1,,1,1,1,71,967081
34394,71,252,2,1,273,20,20,6,1,2,0,1,3,1,1,1,1,,1,1,1,71,967082
34394,71,252,2,1,273,20,20,6,1,2,0,1,2,2,1,1,1,,1,1,1,71,967083
43775,71,252,2,2,273,3,38,2,2,1,0,1,2,3,1,2,2,2,1,1,1,71,967084
43775,71,252,2,2,273,3,38,2,2,1,0,1,3,1,1,1,1,,1,1,1,71,967085
43775,71,252,2,2,273,3,38,2,2,1,0,1,1,1,1,1,1,,1,1,1,71,967086
43741,71,252,2,2,273,20,20,2,2,1,0,1,1,2,1,1,1,,1,1,1,71,967025
43820,71,252,2,2,273,20,53,4,2,1,0,1,3,2,2,1,1,,1,1,1,71,967107
34566,71,252,2,1,273,20,20,8,2,1,0,1,1,1,2,1,1,,1,1,1,71,967380
34318,71,252,2,1,273,3,3,7,1,2,0,1,3,1,1,1,1,,1,1,1,71,967524
43448,71,252,2,2,273,3,3,1,1,1,0,1,2,1,2,1,1,,1,1,1,71,967595
34481,71,252,2,1,273,2,2,5,2,2,0,2,2,2,1,1,2,2,1,1,1,71,967670
43562,71,252,2,2,273,20,53,1,1,2,0,1,1,1,1,1,1,,1,1,1,71,967747
34383,71,252,2,1,274,19,19,1,1,1,0,1,1,1,4,1,1,,1,1,1,71,970925
34383,71,252,2,1,274,19,19,1,1,1,0,1,1,2,2,1,1,,1,1,1,71,970926
34383,71,252,2,1,274,19,19,1,1,1,0,1,2,1,2,1,1,,1,1,1,71,970927
34383,71,252,2,1,274,19,19,1,1,1,0,1,2,2,1,1,1,,1,1,1,71,970928
34383,71,252,2,1,274,19,19,1,1,1,0,1,2,3,2,1,1,,1,1,1,71,970929
34383,71,252,2,1,274,19,19,1,1,1,0,1,2,4,2,1,1,,1,1,1,71,970930
34383,71,252,2,1,274,19,19,1,1,1,0,1,3,1,2,1,1,,1,1,1,71,970931
34365,71,252,2,1,274,15,15,2,1,1,0,2,2,2,1,1,1,,1,1,1,71,970917
34365,71,252,2,1,274,15,15,2,1,1,0,1,2,2,1,1,1,,1,1,1,71,970918
34365,71,252,2,1,274,15,15,2,1,1,0,1,2,1,1,1,1,,1,1,1,71,970919
34365,71,252,2,1,274,15,15,2,1,1,0,2,3,1,2,1,1,,1,1,1,71,970920
43737,71,252,2,2,274,19,19,1,2,2,0,1,2,1,2,1,1,,1,1,1,71,970922
43735,71,252,2,2,274,18,18,1,2,1,0,1,2,2,2,1,1,,1,1,1,71,970923
43482,71,252,2,2,274,19,19,1,1,2,0,1,3,1,2,1,1,,1,1,1,71,970924
34383,71,252,2,1,274,19,19,1,1,1,0,1,3,2,1,1,1,,1,1,1,71,970932
43481,71,252,2,2,274,19,19,1,1,1,0,1,1,1,1,1,1,,1,1,1,71,970933
43738,71,252,2,2,274,19,19,2,2,2,0,1,2,4,2,1,1,,1,1,1,71,970954
43738,71,252,2,2,274,19,19,2,2,2,0,1,2,5,1,1,1,,1,1,1,71,970955
43738,71,252,2,2,274,19,19,2,2,2,0,1,3,1,2,1,1,,1,1,1,71,970956
43738,71,252,2,2,274,19,19,2,2,2,0,1,3,2,1,1,1,,1,1,1,71,970957
43804,71,252,2,2,274,15,49,1,2,2,0,1,1,1,2,1,1,,1,1,1,71,970958
43804,71,252,2,2,274,15,49,1,2,2,0,1,1,2,1,1,1,,1,1,1,71,970959
