,index,Individual_ID,DropoutPrediction,Probability_NoDrop,Probability_Drop,SR_NO,AGE,SCHOOL_ENTRY_AGE,LEV_CURR_ATTEND,COURSE_CD,DURATION_ACADEMY,WH_PRESENT_CLASS,INSTITUTION_CD,INSTITUTION_NATURE_CD,REASON_PRIVATE,MEDIUM_CD,LANGUAGE_CD,TYPE_COURSE_CD,EDUCATION_FREE,FEE_WAIVED,ANNUAL_AMT_WAIVED,REASON_WAIVED,SCHOLARSHIP,ANNUAL_AMT_RECVD,SCHOLARSHIP_TYPE,AGENCY,RECVD_TXT_BOOK_CD,RECVD_STAT_CD,FREE_MID_DAY_MEAL,PROVIDED_AGENCY,TRANSPORT_CD,CONCESSION_RECVD,DIST_RESIDENCE,EDU_INSTIT_CHANGE,PRIV_COACHING,PROPOSE_PRIV_COACHING,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
2089,2230,10130234,1.0,0.09054677416441188,0.9094532258355886,4,15.0,6.0,11.0,3.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,1.0,2.0,4500.0,9.0,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,1013023
2090,2231,10130233,1.0,0.09030227004894521,0.9096977299510542,3,18.0,6.0,10.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,15.0,2.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,5.0,2.0,,3,1,5,71,1013023
2103,2256,10098104,1.0,0.026414133319627373,0.9735858666803717,4,14.0,5.0,10.0,1.0,12.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,2.0,,,,1.0,6.0,2.0,,1.0,2.0,1.0,1.0,2.0,,4,1,5,71,1009810
2104,2257,10098103,1.0,0.025781467092591676,0.9742185329074087,3,18.0,5.0,8.0,1.0,12.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,2.0,1.0,1.0,2.0,,3,1,5,71,1009810
2105,2258,10098105,1.0,0.24098388489665573,0.7590161151033425,5,19.0,5.0,10.0,2.0,12.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,2.0,1.0,1.0,1.0,,5,1,5,71,1009810
2106,2259,10132643,1.0,0.026392515301680824,0.9736074846983179,3,19.0,6.0,14.0,7.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,1.0,30000.0,2.0,1.0,2.0,6.0,2.0,,1.0,,1.0,5.0,2.0,,3,1,5,71,1013264
2109,2262,10129471,1.0,0.0031254580004976954,0.9968745419995033,1,19.0,6.0,15.0,3.0,12.0,2.0,2.0,,2.0,2.0,7.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,3.0,5.0,2.0,,1,1,5,71,1012947
2112,2265,10129385,1.0,0.06443370629106128,0.9355662937089393,5,18.0,5.0,13.0,6.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,4.0,1.0,1.0,1.0,5,1,5,71,1012938
2122,2275,10129463,1.0,0.06286959979674546,0.9371304002032551,3,7.0,6.0,7.0,1.0,12.0,2.0,1.0,1.0,,15.0,1.0,1.0,1.0,,,,2.0,,,,2.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1012946
2123,2276,10129481,1.0,0.004595645047489118,0.9954043549525121,1,21.0,6.0,15.0,2.0,12.0,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,3.0,1.0,2.0,,1,1,5,71,1012948
2124,2277,10129513,1.0,0.021370723267775928,0.9786292767322233,3,23.0,6.0,15.0,13.0,12.0,2.0,2.0,,2.0,2.0,15.0,3.0,2.0,3.0,,,2.0,,,,6.0,6.0,,,,,,1.0,2.0,,3,1,5,71,1012951
2125,2278,10129523,1.0,0.07995671958328267,0.9200432804167181,3,7.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,1.0,2.0,2.0,,4.0,1.0,2.0,,3,1,5,71,1012952
2127,2280,10129533,1.0,0.03578654996412976,0.9642134500358708,3,12.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,,3.0,1.0,2.0,,3,1,5,71,1012953
2128,2281,10129554,1.0,0.05073780464491809,0.9492621953550815,4,14.0,6.0,10.0,1.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,,3.0,1.0,2.0,,4,1,5,71,1012955
2135,2288,10126354,1.0,0.08233613096783665,0.9176638690321626,4,18.0,5.0,12.0,6.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,2.0,5.0,1.0,2.0,,4,1,5,71,1012635
2140,2293,10129634,1.0,0.03382610652330214,0.9661738934766982,4,8.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,2.0,,2.0,1.0,2.0,,4,1,5,71,1012963
2141,2294,10129633,1.0,0.034491592334828146,0.9655084076651727,3,9.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,2.0,,2.0,1.0,2.0,,3,1,5,71,1012963
2150,2307,10135673,1.0,0.05410725244194484,0.9458927475580561,3,20.0,6.0,13.0,6.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,,,,2.0,,,,6.0,6.0,2.0,,9.0,,2.0,1.0,2.0,,3,1,5,71,1013567
2160,2317,10130244,1.0,0.21491761964849565,0.7850823803515055,4,14.0,6.0,10.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2000.0,9.0,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,1013024
2210,2369,10137373,1.0,0.08183886055284628,0.918161139447153,3,13.0,5.0,8.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,3,1,5,71,1013737
2212,2371,10137394,1.0,0.08656072801370333,0.9134392719862969,4,10.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,1013739
2216,2375,10137193,1.0,0.2258170922580426,0.7741829077419559,3,7.0,5.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1013719
2218,2377,10137212,1.0,0.1726731027687339,0.827326897231269,2,7.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,2,1,5,71,1013721
2220,2379,10137233,1.0,0.13459991266460802,0.8654000873353926,3,22.0,5.0,15.0,2.0,12.0,2.0,2.0,,1.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,3,1,5,71,1013723
2221,2381,10137431,1.0,0.00027756331561206945,0.9997224366843904,1,19.0,6.0,14.0,6.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,2.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,1,1,5,71,1013743
2222,2382,10137441,1.0,0.00027756331561206945,0.9997224366843904,1,19.0,6.0,14.0,6.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,2.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,1,1,5,71,1013744
2224,2385,10137466,1.0,0.2304261852433827,0.7695738147566166,6,8.0,6.0,7.0,1.0,12.0,2.0,2.0,,2.0,15.0,15.0,1.0,2.0,2.0,,,2.0,,,,1.0,6.0,1.0,1.0,9.0,2.0,2.0,1.0,2.0,,6,1,5,71,1013746
2226,2387,10137573,1.0,0.03090247743126484,0.9690975225687356,3,17.0,6.0,11.0,6.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,1.0,2300.0,3.0,1.0,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,3,1,5,71,1013757
2227,2388,10137593,1.0,0.21109580197048755,0.7889041980295127,3,23.0,6.0,14.0,6.0,12.0,2.0,3.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,1.0,9.0,3,1,5,71,1013759
2229,2390,10137603,1.0,0.14235313860153911,0.8576468613984607,3,7.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1013760
2231,2392,10137613,1.0,0.1382700073291761,0.8617299926708243,3,11.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1013761
2237,2398,10137696,1.0,0.042244687712843475,0.9577553122871549,6,19.0,6.0,13.0,6.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,2.0,20000.0,3.0,2.0,,,,6.0,6.0,2.0,,1.0,,5.0,1.0,2.0,,6,1,5,71,1013769
2239,2400,10137703,1.0,0.018983718121717678,0.9810162818782828,3,14.0,6.0,8.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3,1,5,71,1013770
2240,2401,10137714,1.0,0.005661513084144594,0.9943384869158556,4,23.0,6.0,13.0,6.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,3.0,2.0,1.0,9.0,4,1,5,71,1013771
2241,2402,10137715,1.0,0.04692424218717764,0.9530757578128222,5,12.0,6.0,8.0,1.0,12.0,2.0,2.0,,2.0,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,5,1,5,71,1013771
2242,2403,10137734,1.0,0.04902003087926323,0.950979969120736,4,21.0,6.0,15.0,4.0,12.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,4,1,5,71,1013773
2243,2404,10137733,1.0,0.048023460406856025,0.951976539593145,3,22.0,6.0,13.0,6.0,12.0,2.0,2.0,,5.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,4.0,,5.0,1.0,2.0,,3,1,5,71,1013773
2247,2410,9695953,1.0,0.2247852306205603,0.775214769379439,3,12.0,5.0,8.0,1.0,12.0,2.0,1.0,,,2.0,15.0,1.0,1.0,,,,2.0,,,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,,3,1,5,71,969595
2256,2419,10138624,1.0,0.2497562011928743,0.7502437988071244,4,20.0,6.0,14.0,2.0,12.0,2.0,2.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,1.0,1200.0,3.0,1.0,6.0,6.0,2.0,,4.0,,1.0,1.0,2.0,,4,1,5,71,1013862
2257,2420,10138623,1.0,0.02646247376213911,0.9735375262378598,3,22.0,6.0,14.0,6.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,4.0,,2.0,1.0,1.0,9.0,3,1,5,71,1013862
2258,2421,10138625,1.0,0.2492441603061028,0.7507558396938966,5,18.0,6.0,14.0,4.0,12.0,2.0,2.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,1.0,1000.0,3.0,1.0,6.0,6.0,2.0,,4.0,,1.0,5.0,2.0,,5,1,5,71,1013862
2262,2425,10138544,1.0,0.026794843027745395,0.973205156972254,4,19.0,6.0,15.0,2.0,12.0,2.0,3.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,4,1,5,71,1013854
2263,2426,10138545,1.0,0.02761089267806691,0.9723891073219337,5,16.0,6.0,14.0,6.0,12.0,2.0,1.0,,,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,2.0,1.0,9.0,5,1,5,71,1013854
2264,2427,10138554,1.0,0.19835059366240743,0.8016494063375933,4,18.0,7.0,10.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,1013855
2265,2428,10138553,1.0,0.019777947549710233,0.9802220524502884,3,11.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1013855
2266,2429,10138555,1.0,0.1967462337970166,0.8032537662029836,5,14.0,6.0,8.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,3.0,,,1.0,600.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,5,1,5,71,1013855
2278,2442,10138913,1.0,0.23631389840479863,0.7636861015952007,3,8.0,5.0,7.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1013891
2287,2452,10138874,1.0,0.21853921987957206,0.7814607801204264,4,17.0,6.0,14.0,6.0,12.0,2.0,3.0,4.0,,2.0,24.0,1.0,2.0,3.0,,,1.0,1000.0,9.0,1.0,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,4,1,5,71,1013887
2288,2453,10138873,1.0,0.0198306340438957,0.9801693659561026,3,21.0,6.0,13.0,3.0,12.0,2.0,3.0,4.0,,2.0,24.0,1.0,2.0,3.0,,,1.0,1000.0,9.0,1.0,6.0,6.0,2.0,,3.0,2.0,5.0,1.0,2.0,,3,1,5,71,1013887
2299,2464,9737793,1.0,0.048775866524700916,0.9512241334752992,3,17.0,5.0,10.0,1.0,12.0,2.0,2.0,3.0,2.0,2.0,22.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,3,1,5,71,973779
2307,2472,9692434,1.0,0.08512630533168523,0.9148736946683149,4,20.0,6.0,15.0,10.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,1.0,,2.0,2.0,,,,4.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,4,1,5,71,969243
2309,2474,9777523,1.0,0.21441452312095927,0.7855854768790403,3,13.0,5.0,8.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,1.0,3.0,,,2.0,,,,1.0,6.0,2.0,,1.0,,1.0,1.0,1.0,9.0,3,1,5,71,977752
2318,2483,9690984,1.0,0.0850758226214528,0.9149241773785475,4,15.0,6.0,8.0,1.0,12.0,1.0,1.0,,,15.0,15.0,1.0,1.0,,,,2.0,0.0,,,6.0,6.0,1.0,1.0,1.0,,4.0,1.0,2.0,,4,1,5,71,969098
2320,2485,9692194,1.0,0.05569741459632263,0.944302585403676,4,18.0,6.0,11.0,3.0,10.0,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,0.0,,,6.0,6.0,2.0,,9.0,,4.0,1.0,1.0,9.0,4,1,5,71,969219
2321,2486,9692193,1.0,0.05928499003954818,0.9407150099604505,3,24.0,6.0,14.0,10.0,10.0,2.0,2.0,,5.0,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,10000.0,2.0,1.0,6.0,6.0,2.0,,9.0,,5.0,5.0,2.0,,3,1,5,71,969219
2322,2487,9692195,1.0,0.04410420999300489,0.9558957900069949,5,18.0,6.0,11.0,3.0,10.0,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,0.0,,,6.0,6.0,2.0,,9.0,,4.0,1.0,1.0,9.0,5,1,5,71,969219
2333,2498,9842865,1.0,0.06231609791862322,0.9376839020813782,5,10.0,6.0,7.0,1.0,12.0,2.0,3.0,1.0,3.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,,2.0,1.0,2.0,,5,1,5,71,984286
2334,2499,9829714,1.0,0.06270404566464163,0.9372959543353572,4,14.0,5.0,8.0,1.0,12.0,2.0,2.0,,1.0,15.0,15.0,2.0,2.0,,,,2.0,,,,1.0,6.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,,4,1,5,71,982971
2336,2501,9850934,1.0,0.06071225198940094,0.9392877480105983,4,12.0,6.0,7.0,1.0,12.0,2.0,1.0,2.0,,15.0,15.0,1.0,1.0,,,,2.0,,,,5.0,6.0,1.0,1.0,1.0,,4.0,1.0,2.0,,4,1,5,71,985093
2337,2502,9850933,1.0,0.06447793987409182,0.9355220601259084,3,15.0,6.0,8.0,1.0,12.0,2.0,1.0,2.0,,2.0,15.0,1.0,1.0,,,,1.0,900.0,2.0,1.0,5.0,6.0,1.0,1.0,1.0,,4.0,1.0,1.0,9.0,3,1,5,71,985093
2344,2509,10165903,1.0,0.081764116851293,0.9182358831487063,3,7.0,6.0,7.0,1.0,12.0,1.0,3.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,2.0,4.0,1.0,1.0,1.0,3,1,5,71,1016590
2345,2510,10165913,1.0,0.08084493912622658,0.9191550608737726,3,15.0,6.0,8.0,1.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,2.0,4.0,1.0,1.0,2.0,3,1,5,71,1016591
2347,2512,10165934,1.0,0.016836585506717038,0.9831634144932839,4,10.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,,4.0,1.0,2.0,,4,1,5,71,1016593
2348,2513,10165933,1.0,0.16258371517795508,0.8374162848220444,3,17.0,6.0,11.0,3.0,12.0,2.0,2.0,,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,4.0,,3.0,1.0,1.0,1.0,3,1,5,71,1016593
2349,2514,10165953,1.0,0.11694106641824827,0.8830589335817534,3,11.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,3,1,5,71,1016595
2353,2518,10166393,1.0,0.23328806594210402,0.766711934057896,3,10.0,7.0,7.0,1.0,12.0,2.0,2.0,1.0,1.0,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1016639
2356,2521,10166453,1.0,0.028357553516498647,0.9716424464835003,3,26.0,6.0,16.0,6.0,12.0,2.0,3.0,1.0,2.0,2.0,13.0,1.0,2.0,2.0,200000.0,9.0,2.0,,,,2.0,2.0,2.0,,1.0,,1.0,5.0,2.0,,3,1,5,71,1016645
2374,2539,10166743,1.0,0.05618378577970526,0.9438162142202955,3,24.0,6.0,15.0,6.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,1.0,10000.0,2.0,1.0,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,1.0,2.0,3,1,5,71,1016674
2375,2540,10166754,1.0,0.039918495105536723,0.9600815048944642,4,18.0,6.0,13.0,6.0,12.0,2.0,2.0,,4.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,4.0,1.0,1.0,2.0,4,1,5,71,1016675
2376,2541,10166756,1.0,0.03774950917200021,0.9622504908280006,6,15.0,6.0,8.0,1.0,12.0,2.0,2.0,1.0,4.0,15.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,4.0,1.0,2.0,,6,1,5,71,1016675
2377,2542,10166755,1.0,0.039918495105536723,0.9600815048944642,5,18.0,6.0,13.0,6.0,12.0,2.0,2.0,,4.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,4.0,1.0,1.0,2.0,5,1,5,71,1016675
2378,2543,10166763,1.0,0.13040375803561313,0.8695962419643868,3,8.0,6.0,7.0,1.0,12.0,2.0,2.0,1.0,1.0,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,2.0,1.0,,1.0,1.0,2.0,,3,1,5,71,1016676
2383,2548,10166814,1.0,0.04584243679489855,0.954157563205101,4,12.0,6.0,8.0,1.0,12.0,2.0,2.0,1.0,2.0,15.0,15.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,2.0,1.0,,1.0,1.0,1.0,9.0,4,1,5,71,1016681
2385,2550,10166823,1.0,0.0750399827979967,0.9249600172020046,3,20.0,6.0,11.0,12.0,12.0,2.0,4.0,,,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,2.0,5.0,5.0,1.0,2.0,3,1,5,71,1016682
2401,2566,10167643,1.0,0.04950133864461054,0.9504986613553903,3,20.0,6.0,15.0,13.0,12.0,2.0,3.0,1.0,2.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,5.0,2.0,,3,1,5,71,1016764
2402,2567,10167652,1.0,0.024484520626311592,0.9755154793736875,2,23.0,6.0,16.0,3.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,2.0,2.0,,2,1,5,71,1016765
2403,2568,10167651,1.0,0.00019699439831142755,0.9998030056016913,1,25.0,6.0,16.0,10.0,12.0,2.0,2.0,,1.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,2.0,2.0,,1,1,5,71,1016765
2415,2581,9844388,1.0,0.030107768355329273,0.9698922316446695,8,7.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,29.0,1.0,1.0,,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,8,1,5,71,984438
2421,2587,9844415,1.0,0.01570498080243907,0.9842950191975617,5,21.0,6.0,14.0,6.0,12.0,2.0,3.0,3.0,5.0,2.0,15.0,1.0,2.0,1.0,75000.0,9.0,2.0,,,,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,5,1,5,71,984441
2427,2593,9844453,1.0,0.10181670480475248,0.8981832951952476,3,19.0,6.0,12.0,6.0,12.0,2.0,3.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,9.0,,5.0,1.0,2.0,,3,1,5,71,984445
2437,2603,9844524,1.0,0.11866031005685262,0.881339689943146,4,29.0,6.0,13.0,11.0,12.0,2.0,2.0,,5.0,15.0,15.0,1.0,2.0,3.0,,,1.0,13000.0,3.0,1.0,6.0,6.0,2.0,,3.0,1.0,5.0,1.0,2.0,,4,1,5,71,984452
